,Unnamed: 0,asset,strike_pct,duration,util,mood,train_start_date,train_end_date,date_start,date_end,strike,years,max_drawdown_percentiles,cagr_percentiles,sharpe_percentiles,asset_label,kelly_params,engine,0_percentile_max_drawdown,25_percentile_max_drawdown,50_percentile_max_drawdown,75_percentile_max_drawdown,100_percentile_max_drawdown,0_percentile_cagr,25_percentile_cagr,50_percentile_cagr,75_percentile_cagr,100_percentile_cagr
30,30,Bitcoin,0.0,14,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.0,2.73972602739726,[0.1048886  0.2746103  0.36457028 0.46671651 0.83392183],[-0.44568086 -0.0712858   0.04224511  0.16898888  0.58187231],[-0.07165682 -0.00540132  0.01565621  0.03907702  0.12893074],Bitcoin_S=0.0_D=14_M=Full History,[0.01136094 0.70208453 0.67372452 0.06339252],kelly,0.10488860078101563,0.27461030201890524,0.3645702761795326,0.46671651416071325,0.8339218312614075,-0.4456808617602468,-0.07128580008530361,0.04224511458846736,0.16898888161345427,0.581872305541514
31,31,Bitcoin,0.0,30,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.0,2.73972602739726,[0.05577468 0.22625452 0.30429283 0.39053553 0.76997389],[-0.39741429 -0.05610676  0.03764336  0.13516072  0.47167772],[-0.08330343 -0.00574417  0.01527223  0.03929275  0.14706636],Bitcoin_S=0.0_D=30_M=Full History,[0.01701561 0.79104548 0.6989585  0.07398042],kelly,0.055774682314178176,0.22625452268609686,0.3042928263654822,0.3905355257197062,0.7699738945714926,-0.39741429124793703,-0.05610676322824343,0.03764335833289101,0.13516072199067142,0.4716777243202501
32,32,Bitcoin,10.0,1,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.1,2.73972602739726,[0.21411094 0.3904397  0.47980042 0.59211417 0.87335647],[-0.46026773 -0.07295491  0.10870987  0.32847687  1.23765782],[-0.05871495  0.00142377  0.02430167  0.04931994  0.11658182],Bitcoin_S=10.0_D=1_M=Full History,[1.96964637e-03 2.78800471e-01 9.95432164e+01 8.93131231e-02],kelly,0.21411093515080556,0.39043969723456107,0.47980042429925795,0.5921141706836446,0.8733564669832564,-0.46026772673672733,-0.07295491369235807,0.10870986751831468,0.3284768749988164,1.237657823244164
33,33,Bitcoin,10.0,7,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.1,2.73972602739726,[0.16114675 0.34069297 0.43030489 0.53777922 0.84334543],[-0.43049334 -0.07557004  0.06696801  0.21658348  0.82115937],[-0.06750716 -0.00239919  0.01934614  0.04033998  0.1177229 ],Bitcoin_S=10.0_D=7_M=Full History,[0.00889268 0.53728178 0.66074664 0.09191449],kelly,0.1611467542953473,0.3406929731928014,0.43030489447941744,0.5377792244078223,0.843345425296687,-0.4304933396852173,-0.07557003883028476,0.06696801056171042,0.21658348317268605,0.8211593657535801
34,34,Bitcoin,10.0,14,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.1,2.73972602739726,[0.13469185 0.2849555  0.38122451 0.49530589 0.80787804],[-0.40727632 -0.06921605  0.0533611   0.20471847  0.79651556],[-0.07341825 -0.00348548  0.01725891  0.04268174  0.1281535 ],Bitcoin_S=10.0_D=14_M=Full History,[0.01382599 0.59618797 0.68400696 0.10058412],kelly,0.13469185044954815,0.2849555049811169,0.38122451071796576,0.49530589010010334,0.8078780371247244,-0.40727631945976694,-0.06921605248373888,0.053361101165152136,0.2047184659112451,0.7965155570303608
35,35,Bitcoin,10.0,30,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.1,2.73972602739726,[0.10293622 0.24943481 0.34073184 0.43471114 0.87159192],[-0.50169908 -0.06621515  0.02363168  0.12841571  0.53107335],[-0.08824617 -0.0065614   0.01195747  0.03328719  0.11363435],Bitcoin_S=10.0_D=30_M=Full History,[0.02139517 0.69843871 0.71067772 0.107626  ],kelly,0.10293621973692456,0.24943481150298605,0.340731839453414,0.4347111399189316,0.8715919173815236,-0.5016990797292459,-0.06621514873146497,0.02363167698803259,0.12841571376531558,0.5310733527042217
36,36,Bitcoin,20.0,1,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.2,2.73972602739726,[0.18396502 0.39843454 0.48299236 0.57774146 0.88014469],[-0.46134112 -0.07016223  0.09062936  0.2944687   1.15387095],[-0.06647564  0.00148928  0.02197673  0.04425643  0.11508143],Bitcoin_S=20.0_D=1_M=Full History,[1.87737132e-03 2.28713217e-01 9.97912711e+01 1.64043960e-01],kelly,0.18396501907103494,0.3984345410125396,0.48299236071350476,0.5777414603951834,0.8801446892597705,-0.46134111782527787,-0.0701622280783564,0.0906293603197893,0.29446870139232195,1.1538709526134423
37,37,Bitcoin,20.0,7,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.2,2.73972602739726,[0.16472036 0.36286545 0.46077099 0.56039776 0.83108199],[-0.43573066 -0.09136415  0.09361148  0.26308764  0.84223771],[-0.06221349 -0.00274055  0.02246535  0.04318157  0.10227052],Bitcoin_S=20.0_D=7_M=Full History,[0.01116218 0.41770149 0.68168604 0.15020823],kelly,0.16472036116841499,0.36286545271796183,0.4607709900152329,0.5603977555535256,0.8310819921134432,-0.4357306566807366,-0.0913641522222727,0.09361147625196276,0.2630876436500831,0.8422377145282185
38,38,Bitcoin,20.0,14,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.2,2.73972602739726,[0.14557878 0.33735519 0.42848108 0.54091379 0.85435639],[-0.4529291  -0.07637313  0.05704707  0.2296822   0.97342382],[-0.07117739 -0.00148326  0.01801708  0.04108821  0.11038832],Bitcoin_S=20.0_D=14_M=Full History,[0.01898126 0.47592419 0.63048298 0.15795622],kelly,0.145578775553242,0.337355187287279,0.4284810792836842,0.5409137900595982,0.8543563933495676,-0.4529290971432698,-0.07637312804626953,0.057047071436989505,0.2296822041427829,0.9734238215861304
39,39,Bitcoin,20.0,30,0.5,Full History,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.2,2.73972602739726,[0.09910235 0.26365408 0.36040379 0.45724044 0.83719891],[-0.4106456  -0.07469209  0.04540386  0.1687452   0.70481189],[-0.07017252 -0.00609178  0.01596935  0.03713605  0.1172728 ],Bitcoin_S=20.0_D=30_M=Full History,[0.0274414  0.54910065 0.61962541 0.15738895],kelly,0.09910235281418867,0.2636540800552124,0.3604037897087934,0.4572404368511358,0.8371989140755566,-0.4106456003663237,-0.07469208563415533,0.045403861592897554,0.16874520214557376,0.7048118853200671
