,Unnamed: 0,asset,strike_pct,duration,util,mood,option_type,train_start_date,train_end_date,date_start,date_end,strike,years,max_drawdown_percentiles,cagr_percentiles,sharpe_percentiles,asset_label,kelly_params,engine,0_percentile_max_drawdown,25_percentile_max_drawdown,50_percentile_max_drawdown,75_percentile_max_drawdown,100_percentile_max_drawdown,0_percentile_cagr,25_percentile_cagr,50_percentile_cagr,75_percentile_cagr,100_percentile_cagr
30,30,Bitcoin,10.0,1,0.5,Full History,put,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.1,2.73972602739726,[0.21211929 0.38642727 0.46900932 0.56910804 0.84049963],[-0.40115828 -0.04275831  0.14913525  0.32891093  1.1496437 ],[-0.05015698  0.00528805  0.02902261  0.04739644  0.11463483],Bitcoin_put_S=10.0_D=1_M=Full History,[1.97050693e-03 2.76920678e-01 9.95431805e+01 8.93125005e-02],kelly,0.2121192919511747,0.38642727162983875,0.4690093168685454,0.5691080407903307,0.8404996343223902,-0.40115828426857525,-0.04275831428790214,0.14913524968643543,0.3289109331741599,1.1496436991958432
31,31,Bitcoin,10.0,1,0.5,Full History,call,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.1,2.73972602739726,[0.05873988 0.2050873  0.30739942 0.40923823 0.8129516 ],[-0.44862018 -0.04811277  0.05389024  0.16515856  0.45222168],[-0.05915431 -0.0028637   0.01979703  0.0551669   0.28606224],Bitcoin_call_S=10.0_D=1_M=Full History,[7.71172896e-04 6.70968433e-01 9.52721894e+01 2.21861341e-03],kelly,0.058739880913214935,0.20508729992144598,0.3073994242963711,0.4092382257490909,0.8129516043414181,-0.4486201826096744,-0.04811277089891286,0.053890244382939656,0.16515856002468293,0.4522216816951401
32,32,Bitcoin,10.0,7,0.5,Full History,put,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.1,2.73972602739726,[0.14509472 0.33281602 0.42805957 0.54609328 0.85863801],[-0.48676823 -0.06860024  0.05016297  0.25848097  0.95835182],"[-6.55856909e-02 -4.81937622e-05  1.73668903e-02  4.59432333e-02
  1.31284969e-01]",Bitcoin_put_S=10.0_D=7_M=Full History,[0.0097585  0.60737665 0.69936935 0.09296667],kelly,0.1450947222177035,0.33281602126911103,0.42805957084030494,0.5460932791396501,0.8586380061402122,-0.48676822854170354,-0.06860024461388564,0.05016296703116241,0.25848097250896956,0.9583518165106677
33,33,Bitcoin,10.0,7,0.5,Full History,call,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.1,2.73972602739726,[0.11154482 0.30353844 0.41412529 0.52416174 0.88435094],[-0.47825597 -0.07550067  0.08318615  0.23367976  0.75343396],[-0.05846049 -0.00051994  0.02298868  0.05075527  0.19849917],Bitcoin_call_S=10.0_D=7_M=Full History,[0.0080297  1.08411252 1.02930401 0.03093892],kelly,0.11154481943164764,0.3035384385956539,0.4141252926676189,0.5241617377366332,0.884350939563219,-0.47825596628283307,-0.07550067323030146,0.08318615177962085,0.23367976060250434,0.7534339595676045
34,34,Bitcoin,10.0,14,0.5,Full History,put,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.1,2.73972602739726,[0.07062176 0.29512591 0.37064499 0.48837303 0.8628315 ],[-0.46523107 -0.06686835  0.05221111  0.18275889  0.82043569],[-0.07651662 -0.00383642  0.01711486  0.03990197  0.15242405],Bitcoin_put_S=10.0_D=14_M=Full History,[0.01336262 0.60138109 0.67343606 0.09254847],kelly,0.07062176229430184,0.29512591377112907,0.3706449884953219,0.4883730271966194,0.8628314993042743,-0.46523107058816926,-0.06686834559075852,0.052211110203849054,0.18275889264621692,0.8204356908276351
35,35,Bitcoin,10.0,14,0.5,Full History,call,2017-01-02,2021-10-31,2017-01-02,2021-10-31,1.1,2.73972602739726,[0.05102582 0.22994078 0.30910657 0.4521923  0.95339197],[-0.42339242  0.45134483  0.72237582  0.97420548  1.74567199],[-0.01044368  0.06411256  0.09905873  0.13244035  0.22829163],Bitcoin_call_S=10.0_D=14_M=Full History,[8.63324470e-02 2.53553962e+00 1.00000000e+02 5.88467398e-02],kelly,0.051025821640596665,0.2299407798251484,0.309106569101478,0.4521922960773217,0.95339197489638,-0.4233924244413636,0.4513448282662887,0.7223758157211887,0.9742054759229235,1.7456719942842378
36,36,Ethereum,-10.0,1,0.5,Full History,put,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.9,2.73972602739726,[0.11056258 0.27330696 0.4282205  0.56395723 0.86576301],[-0.41674049 -0.07781615  0.10997648  0.28345037  0.86270119],"[-6.02759048e-02  7.53193039e-05  2.78579232e-02  6.11946972e-02
  2.64569566e-01]",Ethereum_put_S=-10.0_D=1_M=Full History,[1.32475170e-03 1.52749130e+00 1.84684182e+00 4.47509520e-03],kelly,0.11056257970768434,0.27330696150198014,0.4282204991125418,0.5639572334858286,0.8657630094352731,-0.4167404940649315,-0.07781615059033725,0.1099764750101393,0.2834503730226052,0.8627011910619524
37,37,Ethereum,-10.0,1,0.5,Full History,call,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.9,2.73972602739726,[ 0.2545509   0.62530832  0.77923602 10.84281803         nan],[nan nan nan nan nan],[-0.04216438  0.01064737  0.07371032  0.12588303  0.25049088],Ethereum_call_S=-10.0_D=1_M=Full History,[3.29824369e-03 2.16658843e-04 1.00000000e+02 1.30875199e-01],kelly,0.25455090363984617,0.6253083199825525,0.7792360247391132,10.842818032513932,,,,,,
38,38,Ethereum,-10.0,7,0.5,Full History,put,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.9,2.73972602739726,[0.1353427  0.33834649 0.44297374 0.5639929  0.91319571],[-0.53645142 -0.0820105   0.07928793  0.27219614  0.89943601],[-0.06578877  0.00062436  0.02181298  0.04961483  0.17512818],Ethereum_put_S=-10.0_D=7_M=Full History,[0.01022243 1.19510328 1.38009918 0.03675357],kelly,0.13534269740623878,0.3383464920235122,0.44297373881684193,0.563992898694157,0.9131957088342813,-0.536451415334497,-0.0820105017115712,0.07928793423563019,0.27219614179157026,0.8994360141145257
39,39,Ethereum,-10.0,7,0.5,Full History,call,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.9,2.73972602739726,"[2.42436007e-01 6.42911296e-01 8.34540179e-01 6.28213493e+00
 8.12164378e+02]",[nan nan nan nan nan],[-0.04267291  0.00382911  0.071156    0.11282815  0.21465309],Ethereum_call_S=-10.0_D=7_M=Full History,[ 0.05647049  2.59285124 38.2293163   0.23744583],kelly,0.24243600720440717,0.6429112960078177,0.8345401794635471,6.282134928163532,812.1643778897729,,,,,
40,40,Ethereum,-10.0,14,0.5,Full History,put,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.9,2.73972602739726,[0.12835282 0.29619843 0.42841607 0.54852437 0.88060318],[-0.50980163 -0.04843561  0.1002943   0.29425195  0.82478865],[-0.05192956  0.00411555  0.02565438  0.05489645  0.15930495],Ethereum_put_S=-10.0_D=14_M=Full History,[0.01934339 1.29466199 1.29491985 0.0571676 ],kelly,0.12835282142920268,0.2961984311983381,0.4284160658913775,0.5485243666129133,0.880603181676951,-0.5098016254246722,-0.048435614973874386,0.10029429719056215,0.2942519462799231,0.8247886458294675
41,41,Ethereum,-10.0,14,0.5,Full History,call,2017-01-02,2021-10-31,2017-01-02,2021-10-31,0.9,2.73972602739726,"[1.75901575e-01 6.60601093e-01 1.12988349e+00 3.69887277e+00
 1.91277850e+02]",[nan nan nan nan nan],[-0.05306236 -0.00745082  0.02296962  0.06706373  0.18925608],Ethereum_call_S=-10.0_D=14_M=Full History,[9.55152260e-13 2.67231466e+01 2.34580828e-01 3.18324912e-01],kelly,0.17590157547511906,0.6606010930569801,1.129883486936866,3.6988727710633738,191.27784986049176,,,,,
